DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
W0013_D04   Timepix3      256       256       55      55      -1.465727  0.353010   0.000000   0.233151   3.096957   -0.028052  0.0000000000  
W0013_E03   Timepix3      256       256       55      55      -2.639220  0.424740   23.500000  0.225418   3.076135   -0.032460  0.0000000000  
W0013_G02   Timepix3      256       256       55      55      -2.277049  0.455804   47.000000  0.198966   3.043267   -0.020918  0.0000000000  
W0013_G03   Timepix3      256       256       55      55      0.000000   0.000000   106.500000 0.157000   0.157000   0.000000   0.0000000000  
W0013_J05   Timepix3      256       256       55      55      0.537001   -0.502683  128.000000 0.112374   0.183777   0.022989   0.0000000000  
W0013_L09   Timepix3      256       256       55      55      -0.906752  0.056182   151.500000 -0.094328  -0.191125  0.000802   0.0000000000  
W0019_L08   Timepix3      256       256       55      55      -7.582159  -1.375683  77.000000  0.070531   0.024296   -0.000811  0.0000000000  
