DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091564   0.058500   0.000000   0.001244   -0.001308  0.003031   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178869   0.147583   20.000000  0.001221   -0.005673  -0.003927  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.232015   -3.782564  165.836000 -0.017925  2.020754   0.016041   0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.039102   -1.007458  321.000000 -0.008455  -0.030421  0.003827   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022841   -1.316806  341.000000 -0.013078  -0.031319  0.002319   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005381   -1.039542  362.000000 -0.014652  -0.032260  -0.001534  0.0000000000  
