DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.13402   0.0447174   0   0.00934381   0.00457215   0.00140417   0
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.207196   0.138077   20   0.00373015   -0.0204609   -0.00452312   0
Mim-osa02   Timepix1      1152      576       18.4    18.4    0   0   40   0   0   0   0
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.919575   -0.292513   88   0.0207303   -0.0585413   0.00303892   0
Mim-osa04   Timepix1      1152      576       18.4    18.4    1.01532   -0.630187   108   -0.0213458   0.0699524   0.00253962   0
Mim-osa05   Timepix1      1152      576       18.4    18.4    1.11056   -0.38078   128   -0.0225123   0.0764564   -0.000431169   0
CLi-CPix   Timepix1      64        64        25      25      -0.1251   -2.92809   81.1326   0.000311047   3.14364   -0.0125406   0
