Mim-osa00    0.240795   0.0253097           0  0.00266253  -0.00192831  0.00152528
Mim-osa01     0.26176    0.128678          20  -0.00135499  0.00671007  -0.00463803
Mim-osa02           0           0          40           0           0           0
CLi-CPix   -0.109137    -2.83647       76.08  -0.000310143      3.1416  -0.0106449
Mim-osa03     1.02315   -0.236272          88  0.00409941  -0.0148681  0.00211497
Mim-osa04     1.07812   -0.561746         108  -0.00471586   0.0159015  0.00147291
Mim-osa05     1.13304   -0.299521         128  0.00459289  -0.0172329  -0.00155162
