Mim-osa00    0.240393   0.0254676           0  0.000154516  -9.77436e-05  0.00154502
Mim-osa01    0.261508    0.128727          20  -0.00154707  0.00421687  -0.00463004
Mim-osa02           0           0          40           0           0           0
CLi-CPix   -0.108563    -2.82722     78.9145  -6.27762e-05     3.14224  -0.0106222
Mim-osa03     1.02307   -0.236181          88  0.00243311  -0.0140524  0.00209498
Mim-osa04     1.07802   -0.561708         108  -0.00496751   0.0154881  0.00147109
Mim-osa05     1.13303   -0.299499         128  0.00438235  -0.0162987  -0.00155323
