Mim-osa00   0.0398529   0.0889258           0  0.00549851  0.00633159  0.00165718
Mim-osa01     0.15301    0.163172          20  0.000123256  -0.00694124  -0.00463173
Mim-osa02           0           0          40           0           0           0
CLi-CPix   0.0696237    -2.98692     77.1186  0.000220931     3.14265  -0.00427706
Mim-osa03    0.286298   -0.535717          93  -0.00168022  -0.0154412  0.00285505
Mim-osa04    0.286669   -0.845419         113  -0.00980736  -0.0109768  0.00202753
Mim-osa05    0.289535   -0.569768         133   0.0128295  0.00782702  -0.00117211
