Mim-osa00    0.240947   0.0280643           0   0.0199446  -0.00323838   0.0015994
Mim-osa01     0.26171    0.129267          20  -0.00261205  0.000602364  -0.00463634
Mim-osa02           0           0          40           0           0           0
CLi-CPix   -0.108563    -2.82722     78.9145  -6.27762e-05     3.14224  -0.0106222
Mim-osa03     1.02375   -0.233995          88  0.00937878  -0.0144007   0.0021533
Mim-osa04     1.07831    -0.56042         108  -0.0122942   0.0138242  0.00156224
Mim-osa05     1.13302   -0.299546         128  0.00459236  -0.0161786  -0.0015564
