Mim-osa00    0.233975    0.052281           0  2.32547e-05  0.00345886  0.00128999
Mim-osa01    0.258039    0.142399          20  -9.17432e-05  0.00662607  -0.00475705
Mim-osa02           0           0          40           0           0           0
CLi-CPix   -0.267654    -2.91631     73.6412  0.000332203     3.14132  -0.00564261
Mim-osa03     1.01781   -0.287012          88  -0.0117202   0.0143961  0.00240294
Mim-osa04     1.07078   -0.626658         108  -0.0161158   0.0135376  0.00193266
Mim-osa05     1.12336   -0.378887         128  -0.0197325   0.0146843  -0.00096193
