DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.111239   0.054887   0   -0.00023109   0.0277521   0.00137247   0
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.196733   0.143575   20   -0.00631337   0.0204163   -0.00459788   0
Mim-osa02   Timepix1      1152      576       18.4    18.4    0   0   40   0   0   0   0
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.973832   -0.285518   88   0.0217885   -0.0152635   0.00244953   0
Mim-osa04   Timepix1      1152      576       18.4    18.4    1.04106   -0.626755   108   -0.0309498   0.0137512   0.0020316   0
Mim-osa05   Timepix1      1152      576       18.4    18.4    1.10812   -0.379912   128   0.0355785   -0.00979221   -0.000981195   0
CLi-CPix   Timepix1      64        64        25      25      -0.0881283   -2.8559   77.3339   0.000234613   3.14208   -0.00517729   0
