Mim-osa00     0.11241   0.0545905           0  0.00190818  -0.00814852  0.00124017
Mim-osa01    0.197779    0.143681          20  0.00372765  -0.00626726  -0.00479063
Mim-osa02           0           0          40           0           0           0
CLi-CPix  -0.0903485    -2.85481     74.5859  0.000307815      3.1423  -0.00422215
Mim-osa03    0.974809   -0.284813          88  0.00198198  -0.0090875  0.00226405
Mim-osa04     1.04197   -0.625274         108  -0.00356496  -0.00984946  0.00174946
Mim-osa05     1.10878   -0.378145         128   0.0105263  0.00778321  -0.00116678
