Mim-osa00     0.24125   0.0661993           0  0.00121812  0.00600151  0.00135096
Mim-osa01    0.261453    0.148989          20  0.000657302  -0.000928201  -0.00469167
Mim-osa02           0           0          40           0           0           0
CLi-CPix   -0.157491    -2.92333     78.6289   0.0203175     3.13304   -0.010228
Mim-osa03     1.01823    -0.27525          88    0.014075  -0.0153789   0.0024328
Mim-osa04     1.07133   -0.619954         108  -0.0170135   0.0158269  0.00198791
Mim-osa05     1.12429   -0.377677         128  -0.0194461   0.0161525  -0.000924895
