DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.233619   0.050739   0   -0.0143636   -0.00960437   0.00130921   0
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.257572   0.141206   20   -0.00716327   0.0138432   -0.00467546   0
Mim-osa02   Timepix1      1152      576       18.4    18.4    0   0   40   0   0   0   0
Mim-osa03   Timepix1      1152      576       18.4    18.4    1.01616   -0.288805   88   0.0251867   -0.0356493   0.00272166   0
Mim-osa04   Timepix1      1152      576       18.4    18.4    1.06927   -0.628446   108   -0.0297343   0.0370996   0.00224211   0
Mim-osa05   Timepix1      1152      576       18.4    18.4    1.12118   -0.381055   128   -0.0359142   0.039143   -0.000440562   0
CLi-CPix   Timepix1      64        64        25      25      -0.267922   -2.91711   77.2817   0.00029849   3.14151   -0.00597665   0
