DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091154   0.058516   0.000000   -0.006859  0.008628   0.003111   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178663   0.147832   20.000000  0.000554   -0.002525  -0.003893  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.316385   -3.782690  154.215000 -0.009855  2.982300   -0.000119  0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.038858   -1.007462  321.000000 -0.008020  -0.029741  0.003864   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022677   -1.316824  341.000000 -0.014044  -0.030519  0.002329   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005392   -1.039493  362.000000 -0.013048  -0.030779  -0.001447  0.0000000000  
