DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091404   0.058441   0.000000   -0.003041  0.007280   0.003061   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178693   0.147656   20.000000  0.001854   -0.010901  -0.003895  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.307539   -3.783090  149.405000 -0.008818  2.718120   0.002554   0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.039052   -1.007635  321.000000 -0.013547  -0.030278  0.003682   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022837   -1.316946  341.000000 -0.019288  -0.030581  0.002160   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005626   -1.039736  362.000000 -0.020750  -0.031653  -0.001683  0.0000000000  
