DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091379   0.058568   0.000000   0.001753   -0.001226  0.003024   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178670   0.147767   20.000000  0.000171   -0.005912  -0.003935  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.309474   -3.782180  153.556000 0.000147   3.141670   -0.001816  0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.038835   -1.007381  321.000000 -0.007182  -0.027090  0.003870   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022593   -1.316714  341.000000 -0.009765  -0.028429  0.002453   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005238   -1.039465  362.000000 -0.011078  -0.027789  -0.001372  0.0000000000  
