DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091729   0.058545   0.000000   -0.001841  0.001041   0.003024   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178834   0.147726   20.000000  0.002517   -0.009029  -0.003918  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.200094   -3.779605  149.346000 -0.027469  1.843364   0.026461   0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.039043   -1.007333  321.000000 -0.008438  -0.029767  0.003843   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022786   -1.316755  341.000000 -0.012200  -0.031647  0.002338   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005286   -1.039497  362.000000 -0.012622  -0.030829  -0.001459  0.0000000000  
