DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
W0013_D04   Timepix3      256       256       55      55      -1.331856  0.120123   0.000000   0.157393   3.362455   0.008187   0.0025457500  
W0013_E03   Timepix3      256       256       55      55      -2.534027  0.196697   25.000000  0.135887   3.320118   -0.001680  0.0025477500  
W0013_F09   Timepix3      256       256       55      55      -1.510000  -0.190000  90.000000  0.000000   0.000000   0.000000   0.0000000000  
W0013_G02   Timepix3      256       256       55      55      -2.230000  0.110000   50.000000  0.157000   3.299000   0.000000   0.2075500000  
W0013_G03   Timepix3      256       256       55      55      0.000000   0.000000   90.000000  0.157000   0.157000   0.000000   0.0000000000  
W0013_J05   Timepix3      256       256       55      55      -0.363262  -0.043803  115.000000 0.089543   0.127478   0.003994   0.0024452500  
W0013_L09   Timepix3      256       256       55      55      -1.124318  -0.031606  140.000000 0.128277   -0.055028  0.015345   0.0023897500  
