DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091292   0.058413   0.000000   -0.002189  0.004505   0.003051   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178530   0.147686   20.000000  0.000258   -0.006783  -0.003897  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.302374   -3.788220  154.556000 -0.011430  2.629560   0.004167   0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.038792   -1.007573  321.000000 -0.008897  -0.027542  0.003838   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022695   -1.316764  341.000000 -0.015072  -0.027809  0.002333   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005419   -1.039608  362.000000 -0.015235  -0.028312  -0.001466  0.0000000000  
