DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X         Y       Z       Rx      Ry      Rz      tOffset
Mim-osa00	Timepix1	1152	576	18.4	18.4	0.0908905	0.0589363	0	-0.013971	0.0250863	0.00306013
Mim-osa01	Timepix1	1152	576	18.4	18.4	0.177753	0.147914	20	0.00243381	-0.0297394	-0.00376072
Mim-osa02	Timepix1	1152	576	18.4	18.4	0	0	40	0	0	0
CLi-CPix	Timepix1	64	64	25	25	0.296086	-3.78266	153.729	-0.00890532	2.54258	0.00433065
Mim-osa03	Timepix1	1152	576	18.4	18.4	0.0377169	-1.00742	321	0.0158076	-0.0315643	0.00425622
Mim-osa04	Timepix1	1152	576	18.4	18.4	0.0220721	-1.3165	341	-0.00513308	-0.0247186	0.00256221
Mim-osa05	Timepix1	1152	576	18.4	18.4	0.00543313	-1.03956	362	-0.0126008	-0.0312904	-0.00150455
