DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.121896   0.082732   0.000000   -0.002389  -0.014285  0.002011   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.194481   0.159758   20.000000  -0.000681  -0.012623  -0.004430  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      -0.001263  -2.979816  77.333900  0.036935   3.140556   -0.004182  0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.189313   -0.524529  88.000000  0.006924   0.015104   0.002463   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.152426   -0.832588  108.000000 -0.013461  -0.016014  0.001485   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.114484   -0.553654  128.000000 0.015419   0.009776   -0.001792  0.0000000000  
