DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091433   0.058557   0.000000   -0.008293  0.009896   0.003131   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178690   0.147833   20.000000  0.002206   -0.010441  -0.003881  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.248281   -3.783290  165.836000 -0.016203  2.104900   0.013142   0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.038910   -1.007438  321.000000 -0.007611  -0.029553  0.003804   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022747   -1.316813  341.000000 -0.013119  -0.031818  0.002258   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005365   -1.039502  362.000000 -0.013876  -0.031841  -0.001534  0.0000000000  
