DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091390   0.058499   0.000000   0.004266   -0.003267  0.003036   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178723   0.147769   20.000000  0.001306   -0.007447  -0.003916  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.289528   -3.785146  161.743000 -0.013680  2.469454   0.006333   0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.038875   -1.007377  321.000000 -0.006817  -0.029333  0.003846   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022679   -1.316759  341.000000 -0.010074  -0.031259  0.002388   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005315   -1.039478  362.000000 -0.012606  -0.030495  -0.001444  0.0000000000  
