DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091471   0.058512   0.000000   -0.005769  0.002888   0.003054   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178814   0.147711   20.000000  0.001702   -0.006895  -0.003923  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.213723   -3.778952  146.505000 -0.022730  1.932055   0.021406   0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.038966   -1.007479  321.000000 -0.008801  -0.028368  0.003808   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022739   -1.316817  341.000000 -0.013266  -0.030399  0.002317   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005359   -1.039518  362.000000 -0.014669  -0.030401  -0.001502  0.0000000000  
