DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091332   0.058333   0.000000   -0.008009  0.003070   0.003068   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178733   0.147643   20.000000  0.000194   -0.005942  -0.003933  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.279650   -3.783310  166.902000 -0.011488  2.369760   0.007082   0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.039075   -1.007343  321.000000 -0.010646  -0.029725  0.003794   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022701   -1.316821  341.000000 -0.012856  -0.030526  0.002334   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005444   -1.039569  362.000000 -0.016469  -0.030791  -0.001551  0.0000000000  
