DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091380   0.058555   0.000000   -0.003304  0.006185   0.003065   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178653   0.147690   20.000000  0.002190   -0.010117  -0.003901  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.312481   -3.781210  149.343000 -0.010838  2.805610   0.001704   0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.039140   -1.007657  321.000000 -0.012984  -0.028084  0.003686   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022775   -1.316964  341.000000 -0.017823  -0.029044  0.002203   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005515   -1.039673  362.000000 -0.020623  -0.028532  -0.001633  0.0000000000  
