DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091415   0.058447   0.000000   -0.011733  0.005105   0.003065   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178720   0.147720   20.000000  0.000448   -0.006258  -0.003924  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.201713   -3.787150  149.561000 -0.032776  1.762480   0.036063   0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.038969   -1.007555  321.000000 -0.011694  -0.028441  0.003740   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022827   -1.316864  341.000000 -0.018484  -0.028988  0.002194   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005490   -1.039693  362.000000 -0.019408  -0.029016  -0.001584  0.0000000000  
