DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
W0013_D04   Timepix3      256       256       55      55      0.522924   0.334701   0.000000   0.153412   2.982210   0.002870   0.0000000000  
W0013_E03   Timepix3      256       256       55      55      -0.625145  0.437285   21.500000  0.165275   2.985434   -0.006218  0.0000000000  
W0013_G02   Timepix3      256       256       55      55      -0.303215  0.408269   43.500000  0.154109   2.980659   0.001373   0.0000000000  
W0019_F07   Timepix3      256       256       55      55      0.000000   0.992596   114.000000 0.000000   0.000000   -0.000592  0.0000000000  
W0013_G03   Timepix3      256       256       55      55      0.000000   0.000000   187.500000 0.157000   0.157000   0.000000   0.0000000000  
W0013_J05   Timepix3      256       256       55      55      0.516245   -0.564385  209.500000 0.137967   0.172542   0.027020   0.0000000000  
W0013_L09   Timepix3      256       256       55      55      -1.038202  -0.061092  232.500000 0.150863   0.167685   0.007659   0.0000000000  
W0013_F09   Timepix3      256       256       55      55      -1.463911  -0.294160  526.500000 0.157698   0.157063   0.000083   0.0000000000  
