DetectorID  DetectorType  nPixelsX  nPixelsY  PitchX  PitchY  X          Y          Z          Rx         Ry         Rz         tOffset       
Mim-osa00   Timepix1      1152      576       18.4    18.4    0.091386   0.058623   0.000000   0.007427   -0.006473  0.003116   0.0000000000  
Mim-osa01   Timepix1      1152      576       18.4    18.4    0.178780   0.147697   20.000000  0.000992   -0.006663  -0.003911  0.0000000000  
Mim-osa02   Timepix1      1152      576       18.4    18.4    0.000000   0.000000   40.000000  0.000000   0.000000   0.000000   0.0000000000  
CLi-CPix    Timepix1      64        64        25      25      0.309474   -3.782180  153.556000 0.000147   3.141670   -0.001816  0.0000000000  
Mim-osa03   Timepix1      1152      576       18.4    18.4    0.039096   -1.007415  321.000000 -0.010745  -0.029411  0.003744   0.0000000000  
Mim-osa04   Timepix1      1152      576       18.4    18.4    0.022806   -1.316848  341.000000 -0.012982  -0.029008  0.002301   0.0000000000  
Mim-osa05   Timepix1      1152      576       18.4    18.4    0.005391   -1.039555  362.000000 -0.016306  -0.030074  -0.001544  0.0000000000  
