== masked pixel file for run 10494 ==
p 28 0
p 32 0
p 8 1
p 15 1
p 16 1
p 25 1
p 29 1
p 31 1
p 33 1
p 34 1
p 38 1
p 43 1
p 54 1
p 55 1
p 28 2
p 54 2
p 55 2
p 2 3
p 4 3
p 6 3
p 8 3
p 11 3
p 21 3
p 26 3
p 35 3
p 44 3
p 48 3
p 50 3
p 52 3
p 54 3
p 61 4
p 0 5
p 2 5
p 17 5
p 25 5
p 30 5
p 32 5
p 50 5
p 56 5
p 58 5
p 5 6
p 3 7
p 5 7
p 7 7
p 12 7
p 26 7
p 30 7
p 38 7
p 39 7
p 47 7
p 53 7
p 63 7
p 8 9
p 22 9
p 33 9
p 35 9
p 44 9
p 45 9
p 46 9
p 48 9
p 55 9
p 56 9
p 2 10
p 60 10
p 2 11
p 3 11
p 5 11
p 10 11
p 13 11
p 23 11
p 28 11
p 35 11
p 41 11
p 47 11
p 49 11
p 62 11
p 63 11
p 6 12
p 19 12
p 56 12
p 3 13
p 8 13
p 10 13
p 18 13
p 28 13
p 29 13
p 31 13
p 37 13
p 48 13
p 21 14
p 45 14
p 5 15
p 13 15
p 21 15
p 22 15
p 26 15
p 27 15
p 30 15
p 35 15
p 38 15
p 40 15
p 51 15
p 59 15
p 61 15
p 45 16
p 51 16
p 3 17
p 6 17
p 7 17
p 20 17
p 21 17
p 22 17
p 27 17
p 46 17
p 59 17
p 63 18
p 9 19
p 13 19
p 14 19
p 17 19
p 22 19
p 24 19
p 26 19
p 48 19
p 55 19
p 5 20
p 26 20
p 37 20
p 49 20
p 7 21
p 16 21
p 25 21
p 26 21
p 27 21
p 31 21
p 35 21
p 38 21
p 42 21
p 46 21
p 48 21
p 51 21
p 52 21
p 53 21
p 18 22
p 0 23
p 3 23
p 8 23
p 28 23
p 36 23
p 44 23
p 48 23
p 58 23
p 61 23
p 10 24
p 13 24
p 42 24
p 46 24
p 58 24
p 17 25
p 21 25
p 25 25
p 26 25
p 32 25
p 33 25
p 37 25
p 42 25
p 44 25
p 45 25
p 49 25
p 50 25
p 53 25
p 54 25
p 57 25
p 4 26
p 6 26
p 30 26
p 3 27
p 13 27
p 17 27
p 24 27
p 27 27
p 33 27
p 46 27
p 60 27
p 63 27
p 4 28
p 5 28
p 9 28
p 1 29
p 18 29
p 22 29
p 24 29
p 28 29
p 30 29
p 32 29
p 35 29
p 37 29
p 59 29
p 63 29
p 26 30
p 35 30
p 52 30
p 1 31
p 12 31
p 14 31
p 20 31
p 26 31
p 35 31
p 39 31
p 61 31
p 43 32
p 4 33
p 5 33
p 7 33
p 9 33
p 11 33
p 16 33
p 19 33
p 24 33
p 28 33
p 35 33
p 42 33
p 44 33
p 45 33
p 53 33
p 60 33
p 2 34
p 54 34
p 1 35
p 3 35
p 26 35
p 34 35
p 35 35
p 42 35
p 49 35
p 51 35
p 61 35
p 5 36
p 31 36
p 62 36
p 6 37
p 8 37
p 15 37
p 20 37
p 22 37
p 29 37
p 54 37
p 62 37
p 7 38
p 28 38
p 39 38
p 2 39
p 9 39
p 10 39
p 17 39
p 21 39
p 27 39
p 29 39
p 30 39
p 37 39
p 39 39
p 57 39
p 8 41
p 11 41
p 26 41
p 27 41
p 28 41
p 34 41
p 39 41
p 45 41
p 47 41
p 50 41
p 57 41
p 63 41
p 7 42
p 18 42
p 21 42
p 31 42
p 52 42
p 3 43
p 6 43
p 7 43
p 10 43
p 11 43
p 17 43
p 42 43
p 47 43
p 54 43
p 56 43
p 56 44
p 2 45
p 6 45
p 7 45
p 8 45
p 17 45
p 18 45
p 26 45
p 29 45
p 30 45
p 34 45
p 39 45
p 44 45
p 47 45
p 52 45
p 57 45
p 35 46
p 38 46
p 39 46
p 60 46
p 5 47
p 7 47
p 11 47
p 21 47
p 26 47
p 37 47
p 39 47
p 45 47
p 46 47
p 49 47
p 61 47
p 38 48
p 14 49
p 17 49
p 32 49
p 34 49
p 43 49
p 53 49
p 61 49
p 63 49
p 41 50
p 53 50
p 6 51
p 12 51
p 13 51
p 15 51
p 20 51
p 24 51
p 25 51
p 30 51
p 37 51
p 43 51
p 46 51
p 57 51
p 62 51
p 8 52
p 15 52
p 49 52
p 63 52
p 1 53
p 19 53
p 26 53
p 33 53
p 37 53
p 45 53
p 51 53
p 55 53
p 63 53
p 14 54
p 17 54
p 19 54
p 59 54
p 12 55
p 17 55
p 34 55
p 36 55
p 38 55
p 40 55
p 44 55
p 46 55
p 52 55
p 58 55
p 8 56
p 19 56
p 46 56
p 52 56
p 15 57
p 17 57
p 26 57
p 28 57
p 33 57
p 35 57
p 36 57
p 43 57
p 45 57
p 46 57
p 53 57
p 44 58
p 5 59
p 18 59
p 24 59
p 28 59
p 32 59
p 42 59
p 53 59
p 62 59
c 0 60
c 0 61
c 0 62
c 0 63
