Mim-osa00     0.24103   0.0660467           0  0.000976268  0.00560809   0.0012571
Mim-osa01    0.260836    0.148948          20   0.0070039  -0.00602973  -0.00463029
Mim-osa02           0           0          40           0           0           0
CLi-CPix    -0.15814    -2.92459     80.1531  0.00150618     3.14109  -0.0103221
Mim-osa03      1.0179   -0.275297          88   0.0149715  -0.0149161  0.00243175
Mim-osa04     1.07114   -0.620064         108      -0.019    0.016252  0.00201475
Mim-osa05     1.12411   -0.377738         128  -0.0212931   0.0158222  -0.000902762
