Mim-osa0    0.272517    0.015753           0  -0.00423163   0.0092097  0.00207455
Mim-osa1     0.32992   0.0797327          20  -0.00576534  0.00422535  -0.00452591
Mim-osa2           0           0          40           0           0           0
CLi-CPix   -0.380264    0.851308     94.4689  3.32131e-05     3.14149  0.00241874
Mim-osa3   -0.277824  -0.0609206         110  -0.00884878  0.00465734     0.00303
Mim-osa4   -0.602554     -0.3759         130   0.0120644  0.00647358   0.0018474
Mim-osa5   -0.261482  -0.0883911         150    0.012221  0.00131257  -0.0016249
