Mim-osa00    0.228472   0.0698411           0  0.000798724  0.000742417   0.0012606
Mim-osa01    0.255958    0.151744          20  -0.00514119  0.00630955  -0.00478516
Mim-osa02           0           0          40           0           0           0
CLi-CPix   -0.267467    -2.91557     73.6287  -0.000370052     3.14106  -0.00566371
Mim-osa03     1.04461   -0.274915          88  -0.0195021   0.0135639  0.00246131
Mim-osa04     1.08358   -0.619266         108  -0.0152346   0.0149172  0.00189514
Mim-osa05     1.12126   -0.377018         128  -0.0226435   0.0103546  -0.000989759
