Mim-osa00     0.24444   0.0660369           0  -0.00019128  -0.000831146  0.00125209
Mim-osa01    0.263682    0.149596          20  -0.00192778  0.00596837  -0.00474965
Mim-osa02           0           0          40           0           0           0
CLi-CPix   -0.199241    -2.93459     80.3701  0.000499687      3.1411  -0.00566815
Mim-osa03     1.03058   -0.276654          88  -0.0108862   0.0126464  0.00235431
Mim-osa04      1.0777   -0.620607         108  -0.0136194   0.0116107  0.00188533
Mim-osa05     1.12444   -0.377272         128   -0.016609   0.0106092  -0.00101339
