Mim-osa00    0.113022   0.0546268           0  0.00184701  -0.00879399  0.00123192
Mim-osa01    0.198242     0.14378          20  0.00172609  -0.00662642  -0.0047949
Mim-osa02           0           0          40           0           0           0
CLi-CPix  0.0265738    -2.98672     78.9263  0.000285028     3.14187  -0.0053561
Mim-osa03     0.17534   -0.484833          88  0.000156452  -0.00873075  0.00223426
Mim-osa04     0.24231   -0.825316         108  -0.00397638  -0.00981707  0.00173927
Mim-osa05     0.30885   -0.578072         128  0.00812095  0.00939935  -0.00116053
