Mim-osa00    0.244514   0.0665319           0  -0.000676957  -0.00141976  0.00124914
Mim-osa01    0.263793    0.149889          20  -0.00189839  0.00641847  -0.00475382
Mim-osa02           0           0          40           0           0           0
CLi-CPix   -0.199168     -2.9343     80.3275  0.000546642     3.14107  -0.00572218
Mim-osa03     1.03028   -0.276464          88  -0.0123212   0.0141795  0.00236828
Mim-osa04      1.0778   -0.620475         108  -0.0146669   0.0121264  0.00189032
Mim-osa05      1.1244   -0.377244         128  -0.0179241   0.0106697  -0.00100548
